Transaction ID,Item Name,Seller Name,Brand Name,Sector Name,Category Name,User ID,Transaction Amount,Unit Price,Transaction Date
832570597607092596,Item 103,Seller 27,Brand 10,Sector 2,Cata 9,524008979509,364.7199798671372,5266.573342350288,2022-06-25
362783882472667129,Item 271,Seller 93,Brand 12,Sector 4,Cata 2,208600640468,12526.49157433313,5112.045209496483,2023-07-06
300921224551035764,Item 107,Seller 105,Brand 11,Sector 4,Cata 20,187151685786,1549.9460607480687,5173.15072368698,2022-03-10
496339793283072968,Item 72,Seller 53,Brand 12,Sector 4,Cata 6,317008645173,7033.214732665895,5206.989250853723,2023-09-04
676768492340771573,Item 189,Seller 52,Brand 17,Sector 4,Cata 8,906087792742,15840.365321816349,6221.287378933628,2024-02-12
876431121934324628,Item 21,Seller 63,Brand 4,Sector 2,Cata 18,538565428729,13575.705293683917,5463.008667364539,2022-12-23
626141748549463660,Item 103,Seller 181,Brand 6,Sector 3,Cata 3,876494148815,9992.288201244734,5091.32042325012,2024-08-16
910617612831593052,Item 122,Seller 57,Brand 18,Sector 2,Cata 3,072431080850,20958.631069651954,5379.2519258141965,2022-10-28
790229554686356613,Item 215,Seller 120,Brand 12,Sector 1,Cata 2,661287437786,10468.344940746416,5832.197247324022,2024-01-12
988279460133622480,Item 88,Seller 52,Brand 12,Sector 2,Cata 9,777644501586,15289.198155013932,6226.531735419037,2022-08-01
018922622959642114,Item 100,Seller 107,Brand 10,Sector 4,Cata 1,913238587588,6868.566510917068,5770.840657196963,2024-03-31
932384956175834947,Item 152,Seller 43,Brand 12,Sector 2,Cata 18,232840755863,0.0,5487.83226828236,2023-09-29
351693761413276827,Item 131,Seller 135,Brand 5,Sector 2,Cata 8,998555946698,11136.443234174525,6363.4281277835535,2023-02-16
087485050745442954,Item 150,Seller 117,Brand 12,Sector 4,Cata 9,455670149371,12218.944348989447,5390.179714605075,2022-09-26
437492537961301211,Item 258,Seller 170,Brand 20,Sector 7,Cata 3,132143610976,12061.230783210962,5359.091097927783,2022-10-28
111331802579617681,Item 294,Seller 4,Brand 12,Sector 5,Cata 3,193399673467,2790.8614371844033,4923.461158832261,2022-04-26
938627698187467286,Item 192,Seller 197,Brand 2,Sector 7,Cata 17,369414280896,24891.03775260839,5194.026396973541,2023-03-28
813887000347136479,Item 277,Seller 133,Brand 17,Sector 4,Cata 3,538018893834,4475.5890462206735,4920.267155544305,2022-07-29
113310649064388173,Item 161,Seller 80,Brand 8,Sector 2,Cata 18,492018389664,10510.314136122477,4847.585142536916,2024-07-20
985768680201261534,Item 22,Seller 41,Brand 3,Sector 5,Cata 3,488040813933,11253.383543553233,5459.345977282659,2022-03-07
215361251225397357,Item 253,Seller 132,Brand 17,Sector 2,Cata 13,323419204034,14096.223186137147,5253.617991084811,2022-04-04
